,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1164,0,0,0,0.82
1,843,279,0,42,0.82
2,507,601,50,6,0.5918320545524071
3,518,549,73,23,0.37063601607461466
4,495,559,100,9,0.3819321350783647
5,517,500,128,17,0.372152714999283
6,515,495,142,9,0.3912663275182273
7,535,442,163,20,0.3927453637705842
8,529,438,185,8,0.40946163091075566
9,552,380,206,21,0.4095056786122427
10,551,375,224,9,0.4282264419329902
11,552,336,247,22,0.430753098296863
12,565,319,266,7,0.4360304190245384
13,568,290,280,18,0.44777151428592
14,564,286,297,7,0.4524768862586827
15,568,254,307,25,0.4534698868122197
16,575,250,322,6,0.4578251651907905
17,575,223,339,15,0.4653159155624901
18,576,223,344,7,0.4686090581215293
19,587,191,351,19,0.4707410131996818
20,581,195,365,6,0.4797740869560281
21,593,158,373,22,0.4786107193963596
22,592,163,381,9,0.4882022217064576
23,612,121,392,19,0.4892589227373854
24,613,129,397,4,0.5047384779216407
25,617,104,398,24,0.5065973003576998
26,629,100,408,5,0.5094382146453934
27,648,70,400,21,0.5195439234021881
28,651,72,406,9,0.5319271001229398
29,666,42,412,18,0.5353497842144427
30,689,30,412,7,0.5466524329526927
31,716,9,402,10,0.5625311957010554
32,746,3,384,2,0.5800416514937455
33,759,4,370,2,0.5990198137534347
34,780,0,351,4,0.605975953385299
35,797,3,331,4,0.618026155976109
36,820,0,314,1,0.6271323687657175
37,836,1,295,3,0.6414648264732734
38,831,18,279,7,0.6503365163548307
39,820,26,268,21,0.6436860673165767
40,815,32,278,10,0.6333634519028266
41,696,135,276,28,0.6313342469311959
42,626,207,285,15,0.5444930056479061
43,610,201,303,16,0.49874445209551366
44,619,189,310,12,0.49213502630231887
45,622,176,310,21,0.4994006420138988
46,622,178,315,13,0.5017384383498091
47,624,167,318,18,0.5029401533161187
48,620,170,322,15,0.505138436948599
49,626,156,326,19,0.5031473730577131
50,617,158,344,8,0.5078972212679439
51,635,136,340,16,0.5050039089125069
52,634,135,349,8,0.516454636542015
53,631,122,356,15,0.5176874544114307
54,651,108,350,13,0.5175375156132287
55,640,111,353,17,0.5307835277467586
56,644,106,362,8,0.5241159255470201
57,651,90,365,14,0.5287658836459301
58,647,90,366,16,0.5340941189054113
59,638,81,382,17,0.5318586185197031
60,660,60,389,8,0.5288492925292376
61,681,28,393,14,0.5455367576822456
62,711,14,386,5,0.5612061012301597
63,726,4,380,6,0.5811943137944771
64,745,0,368,2,0.5909015343140603
65,774,0,341,0,0.6029554784222859
66,791,1,319,4,0.619609396090541
67,803,1,309,2,0.6284875841005274
68,804,12,285,14,0.6358201395805462
69,786,29,276,24,0.632354583020829
70,735,78,287,14,0.6171479692587999
71,658,144,287,23,0.5817797917633954
72,620,174,309,9,0.5278887114623338
73,623,154,320,15,0.5057115093942486
74,637,133,329,12,0.5096858259198236
75,642,120,329,19,0.5211534158934626
76,656,113,327,10,0.5249188065491689
77,641,124,321,20,0.5355950134499768
78,623,139,329,14,0.5241649531527848
79,630,120,340,15,0.5135710748357297
80,632,120,341,12,0.5202923642172543
81,655,95,332,22,0.5218387305246357
82,642,108,343,10,0.5364659036048356
83,635,104,344,20,0.529740309903874
84,647,95,349,11,0.5250949233876568
85,644,81,361,16,0.5345928708971934
86,651,79,359,13,0.5346304345966539
87,655,57,375,14,0.5391274517027977
88,665,45,381,10,0.5450690029749612
89,704,13,375,9,0.5531085929521121
90,725,2,371,3,0.579701144423761
91,740,0,359,1,0.5941761252066048
92,766,1,332,1,0.6034209336909879
93,775,0,321,4,0.6179735889578957
94,791,1,308,0,0.6228019388358363
95,804,1,295,0,0.6326458451256011
96,819,0,280,1,0.6403141672007246
97,850,0,247,3,0.6492713119315499
98,876,0,224,0,0.6677791477604561
99,879,0,214,7,0.6844303694957412
100,903,1,195,1,0.6850711607365564
101,922,2,173,3,0.7009903672327386
102,921,5,156,18,0.7123517454611707
103,913,24,150,12,0.7085581832102562
104,739,171,151,38,0.7015431361738114
105,594,313,183,8,0.5664363976085137
106,601,277,202,17,0.47047348489612206
107,600,282,206,9,0.478872493427898
108,605,252,220,20,0.478900099973666
109,603,256,232,6,0.48475360561417996
110,607,229,238,23,0.48551078779724705
111,607,228,254,7,0.4892813679253699
112,610,201,261,23,0.4924263757480023
113,605,201,279,9,0.49602809031217165
114,610,171,294,18,0.49612482935624974
115,609,170,308,6,0.5024982444373388
116,616,137,322,18,0.5042823129666146
117,628,133,323,8,0.5115267221941281
118,629,104,335,23,0.5202746992485503
119,634,98,349,10,0.5234146101497849
120,636,72,362,21,0.5293340085413523
121,648,60,374,9,0.5330078193508017
122,676,21,380,13,0.5434610349761211
123,700,8,375,6,0.5645711553839465
124,721,1,364,3,0.5812320130661494
125,750,1,337,1,0.5945557216861281
126,778,0,311,0,0.6112393091187427
127,787,2,298,2,0.6277755452201417
128,807,0,278,4,0.6323609956961891
129,806,8,266,9,0.6442676779941505
130,821,8,256,4,0.6413779500391037
131,827,3,252,7,0.6513137396459845
132,827,7,249,6,0.6553183744081125
133,844,4,232,9,0.6547900238926486
134,849,4,225,10,0.6652252142240465
135,867,0,219,2,0.6684077710212264
136,879,0,206,3,0.6817249408052849
137,892,0,196,0,0.6890609009187074
138,907,0,180,1,0.6977429979089025
139,916,2,167,3,0.7069579602956033
140,938,0,148,2,0.7118568862373625
141,946,1,138,3,0.7258689512521
142,957,0,129,1,0.7303023250696331
143,959,5,121,2,0.7374849479870152
144,831,114,111,31,0.7375721999205732
145,608,326,132,18,0.6345069789124163
146,569,347,148,19,0.47557859842256234
147,586,319,165,12,0.45230077890051157
148,577,301,186,17,0.4670726652492038
149,587,277,204,13,0.4650138629029949
150,590,251,220,18,0.4749437774879687
151,588,237,243,11,0.48045043073082006
