,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
121,687,1,355,2,0.5722418425018027,Renyi,0
122,694,1,346,4,0.5928367025934247,Renyi,0
123,708,0,336,1,0.5965310582941584,Renyi,0
124,723,0,322,0,0.6054770075654717,Renyi,0
125,741,0,303,1,0.6145781807407782,Renyi,0
126,761,0,283,1,0.6252642835317552,Renyi,0
127,771,1,273,0,0.6375629679801545,Renyi,0
128,784,0,260,1,0.6437985081881447,Renyi,0
129,798,0,245,1,0.6519882822815366,Renyi,0
130,806,0,235,3,0.661180744157092,Renyi,0
131,820,0,224,0,0.6659566267923581,Renyi,0
132,826,5,208,5,0.6755810678357004,Renyi,0
133,839,2,201,2,0.6776461491298716,Renyi,0
134,859,1,183,1,0.6872614183168633,Renyi,0
135,877,1,164,2,0.7007688126492332,Renyi,0
136,886,0,157,1,0.7123720909250649,Renyi,0
137,902,0,142,0,0.7185834035948392,Renyi,0
138,917,0,127,0,0.7289919696934944,Renyi,0
139,927,2,115,0,0.7382833400170736,Renyi,0
140,937,2,98,7,0.7438827403219819,Renyi,0
141,955,1,87,0,0.7483272798062113,Renyi,0
142,964,0,76,3,0.7595364491467207,Renyi,0
143,977,0,65,1,0.763532779823734,Renyi,0
144,981,0,57,5,0.7697100499608759,Renyi,0
145,990,0,53,0,0.7706482149722359,Renyi,0
146,993,0,49,1,0.7751824578651656,Renyi,0
147,1005,0,38,0,0.7761612600796967,Renyi,0
148,1012,0,29,2,0.7808715198852335,Renyi,0
149,1010,2,28,3,0.7830950904693494,Renyi,0
150,1010,0,33,0,0.7818022061531985,Renyi,0
151,1011,0,32,0,0.7827247984124245,Renyi,0
152,1010,1,31,1,0.7830945540712714,Renyi,0
153,1011,0,32,0,0.7823557615087342,Renyi,0
154,1012,0,31,0,0.7830945540712714,Renyi,0
155,1013,0,29,1,0.7834641273730398,Renyi,0
156,1016,0,26,1,0.7836490380149815,Renyi,0
157,1015,3,25,0,0.7847567571561458,Renyi,0
158,1018,0,24,1,0.7840185507565863,Renyi,0
159,1021,1,21,0,0.7854949736240942,Renyi,0
160,1019,0,22,2,0.7866021492202666,Renyi,0
161,1019,0,24,0,0.7856795259937156,Renyi,0
162,1021,0,21,1,0.786048562897406,Renyi,0
163,1018,0,21,4,0.7866021492202666,Renyi,0
164,1018,0,24,1,0.7849414182685587,Renyi,0
165,1016,0,24,3,0.7854949736240942,Renyi,0
166,1017,0,26,0,0.7843877202524554,Renyi,0
167,1018,0,24,1,0.7853103997302152,Renyi,0
168,1020,0,23,0,0.7854949736240942,Renyi,0
169,1017,2,22,2,0.786417619675802,Renyi,0
170,1017,0,25,1,0.7845723259228344,Renyi,0
171,1014,1,26,2,0.78512588127837,Renyi,0
172,1006,6,29,2,0.7836493183712098,Renyi,0
173,933,51,30,29,0.7797668272532949,Renyi,0
174,721,232,63,27,0.7331636759374934,Renyi,0
175,593,328,93,25,0.5660498279054946,Renyi,0
176,600,290,131,18,0.47707651358003283,Renyi,0
177,599,260,154,24,0.48914214631470265,Renyi,0
178,610,224,189,13,0.4933717144317811,Renyi,0
179,605,200,213,18,0.50817980954239,Renyi,0
180,614,165,244,12,0.5089675664015214,Renyi,0
181,619,135,259,20,0.5216112715963718,Renyi,0
182,628,100,287,18,0.5287730556349324,Renyi,0
183,662,49,305,17,0.5405717390534968,Renyi,0
184,692,10,322,8,0.569307357250161,Renyi,0
185,718,0,314,0,0.5957746794159253,Renyi,0
186,729,0,303,0,0.6145889495101851,Renyi,0
187,741,0,289,2,0.6212607506518781,Renyi,0
188,755,0,277,0,0.6282501149764962,Renyi,0
189,764,0,266,2,0.6373089307297736,Renyi,0
190,773,1,258,0,0.6425848535660602,Renyi,0
191,787,0,244,1,0.6484589225197654,Renyi,0
192,802,0,230,0,0.6573937608615682,Renyi,0
193,816,0,214,2,0.6672553484042222,Renyi,0
194,824,1,204,3,0.6759998697287534,Renyi,0
195,836,0,195,1,0.680865956535554,Renyi,0
196,859,0,173,0,0.6892960974660222,Renyi,0
197,869,0,161,2,0.7045790170445545,Renyi,0
198,879,0,151,2,0.7107307802247601,Renyi,0
199,886,0,146,0,0.71719170290399,Renyi,0
200,894,1,137,0,0.7220322846361309,Renyi,0
201,894,1,127,10,0.7268899877313421,Renyi,0
202,909,1,122,0,0.7250448032128901,Renyi,0
203,920,0,112,0,0.7360827241310469,Renyi,0
204,929,4,99,0,0.7427232956511275,Renyi,0
205,907,20,91,14,0.7470407278846705,Renyi,0
206,830,78,94,29,0.7287913659416057,Renyi,0
207,643,240,123,24,0.6660837233936268,Renyi,0
208,609,255,148,15,0.5225856773381429,Renyi,0
209,615,224,163,22,0.503141888957657,Renyi,0
210,609,211,182,20,0.511417743524419,Renyi,0
211,619,180,201,21,0.5112407453079121,Renyi,0
212,614,161,227,19,0.5224940310379219,Renyi,0
213,626,120,257,17,0.5235950459207586,Renyi,0
214,634,87,282,17,0.5383976381728701,Renyi,0
215,659,40,306,13,0.5489819137190136,Renyi,0
216,684,15,310,9,0.5730684734833843,Renyi,0
217,698,1,313,6,0.5930421904403784,Renyi,0
218,710,0,308,0,0.60452115941302,Renyi,0
219,721,0,296,1,0.6130528972570068,Renyi,0
220,742,0,276,0,0.6195784781009215,Renyi,0
221,750,0,268,0,0.6327673890742468,Renyi,0
222,759,0,259,0,0.6377873738180854,Renyi,0
223,768,0,249,1,0.6434769243199454,Renyi,0
224,778,0,238,2,0.6490248472535584,Renyi,0
225,791,0,225,2,0.655257163999559,Renyi,0
226,813,0,205,0,0.6636667106757568,Renyi,0
227,825,0,191,2,0.6784045326282944,Renyi,0
228,827,0,186,5,0.6859165964984931,Renyi,0
229,838,0,180,0,0.6866775346572311,Renyi,0
230,850,0,168,0,0.6948256790881284,Renyi,0
231,859,0,155,4,0.7026787416432305,Renyi,0
232,875,0,141,2,0.7077883120157535,Renyi,0
233,886,0,130,1,0.7183969698661461,Renyi,0
234,899,0,116,2,0.7256924910299305,Renyi,0
235,903,2,107,5,0.7333316021257024,Renyi,0
236,911,1,102,3,0.7347434607086359,Renyi,0
237,926,0,91,0,0.7398449710656102,Renyi,0
238,943,0,74,0,0.7486084094158125,Renyi,0
239,952,0,63,2,0.7567936385843781,Renyi,0
240,961,0,56,0,0.7603541873025884,Renyi,0
241,970,0,46,1,0.7644056658827374,Renyi,0
242,977,0,39,1,0.7677139868450805,Renyi,0
243,984,1,28,4,0.7703474298209886,Renyi,0
244,981,4,27,4,0.772207246657249,Renyi,0
245,947,26,28,15,0.7705444130267729,Renyi,0
246,798,138,42,35,0.7510754207030218,Renyi,0
247,608,305,76,22,0.6380889689708266,Renyi,0
248,592,282,111,23,0.49499859888821196,Renyi,0
249,605,244,139,19,0.49076977263710475,Renyi,0
250,603,208,172,21,0.5058873703718553,Renyi,0
251,607,179,204,13,0.511610109752353,Renyi,0
252,624,129,223,24,0.5208566849318693,Renyi,0
253,640,92,254,12,0.5382243549233642,Renyi,0
254,667,40,278,12,0.5568556044836137,Renyi,0
255,690,17,283,6,0.5824979624321855,Renyi,0
256,701,1,289,4,0.6019049542678252,Renyi,0
257,709,0,286,0,0.6121947688756394,Renyi,0
258,721,0,273,1,0.6180553772743282,Renyi,0
259,738,0,257,0,0.6253466630036262,Renyi,0
260,749,2,240,4,0.6362593160132923,Renyi,0
261,762,2,228,2,0.6421753436170381,Renyi,0
262,771,0,221,2,0.6511979315299125,Renyi,0
263,781,0,213,0,0.6574110384546734,Renyi,0
264,794,0,199,1,0.6643067210962417,Renyi,0
265,796,6,189,3,0.6726449752142015,Renyi,0
266,800,6,182,6,0.6724824993565743,Renyi,0
267,811,0,183,0,0.6745573058372553,Renyi,0
268,821,1,170,2,0.6839995734779879,Renyi,0
269,837,0,157,0,0.6900020593487849,Renyi,0
270,847,1,145,1,0.7009619184971136,Renyi,0
271,858,0,136,0,0.7070041426406101,Renyi,0
272,862,0,130,2,0.7142982378831191,Renyi,0
273,873,0,121,0,0.7164051778528512,Renyi,0
274,886,0,106,2,0.7234378870316048,Renyi,0
275,900,0,94,0,0.7306051937413508,Renyi,0
276,910,0,84,0,0.7385726347760121,Renyi,0
277,922,1,71,0,0.7436133684821393,Renyi,0
278,929,1,63,1,0.7490178693308494,Renyi,0
279,941,0,51,2,0.7518663385177098,Renyi,0
280,941,1,49,3,0.7567306126806471,Renyi,0
281,952,0,42,0,0.7563615757769568,Renyi,0
