,Quiescent,Active,Jailed,Fighting,Legitimacy,network,run
113,998,2,85,1,0.763971319035865,SmallWorld,3
114,1008,1,76,1,0.7668875712162756,SmallWorld,3
115,1015,3,67,1,0.7717243356405982,SmallWorld,3
116,1004,13,57,11,0.774425101512906,SmallWorld,3
117,1004,4,68,9,0.76603550089271,SmallWorld,3
118,1012,0,73,0,0.7680187902506695,SmallWorld,3
119,1015,1,69,0,0.7739272861733487,SmallWorld,3
120,1022,0,63,0,0.7750298551206226,SmallWorld,3
121,1031,0,53,1,0.7780969514914582,SmallWorld,3
122,1033,0,51,1,0.7814377443441332,SmallWorld,3
123,1036,0,48,1,0.7821965033685466,SmallWorld,3
124,1039,1,45,0,0.7833218425796452,SmallWorld,3
125,1042,0,41,2,0.784434255441779,SmallWorld,3
126,1045,0,37,3,0.7853561428274631,SmallWorld,3
127,1046,0,38,1,0.786270349477509,SmallWorld,3
128,1047,0,37,1,0.7869944785046971,SmallWorld,3
129,1050,1,34,0,0.7873574870259483,SmallWorld,3
130,1050,1,32,2,0.7884440553021548,SmallWorld,3
131,1050,0,33,2,0.7880834572370712,SmallWorld,3
132,1053,0,32,0,0.788263756269613,SmallWorld,3
133,1053,1,30,1,0.7897084264666295,SmallWorld,3
134,1054,1,30,0,0.7893478284015459,SmallWorld,3
135,1055,0,29,1,0.7898891416078538,SmallWorld,3
136,1052,3,29,1,0.7902500412552608,SmallWorld,3
137,1050,1,32,2,0.788626070079651,SmallWorld,3
138,1052,0,32,1,0.7880834572370712,SmallWorld,3
139,1054,0,30,1,0.7891669671772764,SmallWorld,3
140,1054,0,28,3,0.7898891416078538,SmallWorld,3
141,1055,0,28,1,0.7895285435427702,SmallWorld,3
142,1055,1,28,0,0.7902502548353237,SmallWorld,3
143,1055,0,28,1,0.7902502548353237,SmallWorld,3
144,1058,0,26,0,0.7902502548353237,SmallWorld,3
145,1056,0,25,3,0.7915126587994629,SmallWorld,3
