,Quiescent,Active,Jailed,Fighting,Legitimacy,links,run
194,717,1,315,3,0.5980033749780914,3,7
195,732,0,304,0,0.6089703181348545,3,7
196,750,0,286,0,0.6186539669685188,3,7
197,762,0,273,1,0.6295703173151168,3,7
198,782,0,254,0,0.6367658085386998,3,7
199,797,0,235,4,0.6494103420925161,3,7
200,807,0,227,2,0.6581601709446101,3,7
201,820,1,209,6,0.6648921618714473,3,7
202,829,1,202,4,0.6723179985349477,3,7
203,846,0,189,1,0.6784746710158851,3,7
204,856,0,179,1,0.6901710596092082,3,7
205,864,0,170,2,0.6966187253954368,3,7
206,883,0,153,0,0.7015778364371613,3,7
207,891,0,144,1,0.7140149553267693,3,7
208,903,0,133,0,0.7188273683203349,3,7
209,913,1,122,0,0.7263482484339524,3,7
210,911,9,107,9,0.7321035029626748,3,7
211,921,1,111,3,0.7278500948517178,3,7
212,935,0,100,1,0.7361615917783735,3,7
213,946,0,85,5,0.7443731033474273,3,7
214,954,2,76,4,0.7492681710257761,3,7
215,966,0,69,1,0.7529251211394131,3,7
216,973,0,63,0,0.7591838548185246,3,7
217,981,0,55,0,0.7622746409857756,3,7
218,987,0,49,0,0.7654363220003372,3,7
219,990,1,44,1,0.7677176655385322,3,7
220,990,1,44,1,0.7684744767739563,3,7
221,994,0,40,2,0.7684744767739563,3,7
222,994,0,39,2,0.7699509397065823,3,7
223,995,1,36,3,0.7699553363586339,3,7
224,971,21,35,8,0.7699590289684111,3,7
225,794,159,45,35,0.7562488827158693,3,7
226,604,338,79,10,0.6226340878323201,3,7
227,605,301,107,18,0.4838418660741444,3,7
228,605,290,126,9,0.48963655353073365,3,7
229,609,252,144,25,0.4934378761598278,3,7
230,611,238,177,4,0.49958487574911786,3,7
231,618,201,195,16,0.5070112174573266,3,7
232,620,189,211,10,0.5153453996112126,3,7
233,628,155,224,22,0.5196986685235279,3,7
234,630,146,243,9,0.5282550369326452,3,7
235,642,107,258,21,0.5335324607334923,3,7
236,660,84,273,11,0.5450793318922874,3,7
237,664,47,295,22,0.5611750618966618,3,7
238,680,32,306,8,0.5681578986646183,3,7
239,701,5,312,8,0.5830096568882139,3,7
240,719,2,303,2,0.6001656730289839,3,7
241,733,0,292,1,0.6125020278226321,3,7
242,746,0,280,0,0.6214972876655979,3,7
243,761,1,264,0,0.6296238075520786,3,7
244,773,0,251,2,0.6387238040234081,3,7
245,786,0,238,2,0.646051148680772,3,7
246,779,8,228,11,0.6542628190466656,3,7
247,784,8,230,4,0.6467502927385097,3,7
248,796,1,224,5,0.6511820289827425,3,7
249,817,0,208,1,0.659903375220441,3,7
250,824,1,200,1,0.6742856150549327,3,7
251,836,0,190,0,0.6786182804124485,3,7
252,845,4,175,2,0.6867272046136291,3,7
253,860,3,155,8,0.6914434174984182,3,7
254,864,1,158,3,0.7001592968189683,3,7
255,881,0,140,4,0.7039755282563119,3,7
256,870,15,131,9,0.7149151173653651,3,7
257,880,6,126,12,0.7044187259646546,3,7
258,894,1,127,1,0.7120150289480354,3,7
259,863,32,115,13,0.7236698858301364,3,7
260,773,108,120,22,0.6967262776447745,3,7
261,666,198,139,20,0.6236510497383334,3,7
262,628,220,161,13,0.5433312798835359,3,7
263,634,198,171,17,0.5194293013233181,3,7
264,630,187,189,13,0.5264100127057268,3,7
265,640,165,197,16,0.5270964657308858,3,7
266,636,152,211,18,0.5363226210848033,3,7
267,644,121,234,17,0.5362720498491953,3,7
268,659,96,244,16,0.5467690430755325,3,7
269,668,68,268,11,0.5602168201569891,3,7
270,698,38,271,8,0.5713751691106078,3,7
271,706,24,276,8,0.5949320618237954,3,7
272,717,7,282,8,0.6024772587514782,3,7
273,730,0,281,2,0.6121836944102478,3,7
274,745,0,267,1,0.6227068916189546,3,7
275,752,1,259,1,0.6321454094817667,3,7
276,767,0,245,1,0.6363247683847931,3,7
277,766,2,240,4,0.645931946098058,3,7
278,781,0,230,1,0.6446631574154763,3,7
279,789,2,221,0,0.6550962062260385,3,7
280,797,1,207,7,0.6600310317754748,3,7
281,787,13,204,7,0.6640794045497781,3,7
282,788,13,197,11,0.6557652436204202,3,7
283,792,8,194,13,0.6562381565041178,3,7
284,812,0,193,2,0.6599105274498666,3,7
285,827,0,179,1,0.6762491531387186,3,7
286,843,0,162,2,0.6861059048826164,3,7
287,837,10,148,12,0.6961778573669987,3,7
288,828,20,148,10,0.6887211587072871,3,7
289,820,17,154,15,0.6817740309218545,3,7
290,771,56,165,14,0.6762577662662864,3,7
291,732,77,173,22,0.6378650929158364,3,7
292,704,89,194,16,0.6086394165116541,3,7
293,693,88,203,17,0.5906734794030916,3,7
294,697,69,217,17,0.5845329616692501,3,7
295,703,50,233,13,0.5906173161593156,3,7
296,716,23,247,12,0.5986513985209094,3,7
297,743,1,253,1,0.6119011686062273,3,7
298,756,0,241,1,0.6346444651101214,3,7
299,767,0,229,2,0.6430255303090023,3,7
300,783,0,215,0,0.6498397959696283,3,7
301,792,1,204,1,0.6604542940281158,3,7
302,801,0,196,1,0.6658877420290836,3,7
303,815,0,183,0,0.6718765717816761,3,7
304,825,0,169,4,0.6810921075439038,3,7
305,841,0,155,2,0.6867986252919264,3,7
306,845,0,151,2,0.697356555377734,3,7
307,858,0,140,0,0.6998770242922866,3,7
308,858,2,136,2,0.7083161134495359,3,7
309,872,0,126,0,0.7075910913452035,3,7
310,881,1,115,1,0.716748238185838,3,7
311,876,7,105,8,0.7216118699082456,3,7
312,807,59,106,24,0.7168079183845312,3,7
313,701,145,133,16,0.6614530619154363,3,7
314,644,188,142,20,0.5806512549225618,3,7
315,631,181,166,15,0.5386500086920439,3,7
316,631,163,182,16,0.5335887893881873,3,7
317,636,140,201,13,0.5368775239994505,3,7
318,630,126,217,17,0.5448692482209072,3,7
319,655,90,226,18,0.543248128683694,3,7
320,659,69,243,18,0.5642486162052639,3,7
321,679,43,254,13,0.570398281969098,3,7
322,714,3,264,8,0.5878670672713878,3,7
323,724,0,263,2,0.6172975320243421,3,7
324,733,1,255,0,0.6251296395671747,3,7
325,746,3,235,5,0.6309356608945857,3,7
326,755,1,232,1,0.6378606699389562,3,7
327,765,0,224,0,0.6446645592894189,3,7
328,779,0,209,1,0.6514151109944255,3,7
329,782,7,199,1,0.6602284854061944,3,7
330,797,0,190,2,0.6608928849858231,3,7
331,801,0,187,1,0.6716607735491825,3,7
332,809,0,180,0,0.6744237413717452,3,7
333,821,0,168,0,0.6797619614697074,3,7
334,831,0,156,2,0.6874629359582931,3,7
335,837,0,150,2,0.6934617146453665,3,7
336,850,0,138,1,0.6972422661151286,3,7
337,859,0,129,1,0.7054848257036376,3,7
338,878,0,111,0,0.710929196036676,3,7
339,887,0,99,3,0.7220928433529783,3,7
340,900,2,86,1,0.7264430467094164,3,7
341,909,0,77,3,0.7330842035824451,3,7
342,915,0,73,1,0.737356527083672,3,7
343,921,0,67,1,0.7404148491094551,3,7
344,932,0,57,0,0.7429921988811579,3,7
345,938,0,50,1,0.7476222269289061,3,7
346,945,0,44,0,0.7497449541376732,3,7
347,954,0,35,0,0.7525391525809,3,7
348,958,3,26,2,0.7558317148637405,3,7
349,952,4,26,7,0.7563783286208317,3,7
350,951,2,32,4,0.7531099195862845,3,7
351,952,1,35,1,0.7536516299871414,3,7
352,951,1,35,2,0.7547412193210326,3,7
353,950,1,35,3,0.7541953965653908,3,7
354,954,1,31,2,0.7536491026921336,3,7
355,956,0,32,0,0.7552889719535354,3,7
356,954,3,28,3,0.7565591429053476,3,7
357,957,0,31,0,0.7547452053752861,3,7
358,907,28,29,24,0.7569220951990809,3,7
359,727,180,54,26,0.7276513663377331,3,7
360,601,281,85,19,0.5905483372470317,3,7
361,635,223,117,10,0.4992355325635175,3,7
362,614,218,137,16,0.53085602107047,3,7
363,633,174,162,15,0.5186953709641872,3,7
364,631,157,179,17,0.5378930071224143,3,7
365,649,114,201,20,0.5394619558877185,3,7
366,661,81,224,18,0.5571389702688908,3,7
367,672,56,246,9,0.5705327502251769,3,7
368,682,27,260,12,0.58346290032902,3,7
369,693,9,275,4,0.5946611009769202,3,7
370,704,1,272,4,0.606054076768811,3,7
371,716,1,263,0,0.614251181370695,3,7
372,727,0,253,0,0.6226712455582636,3,7
373,738,0,242,0,0.6297381513332917,3,7
374,750,0,228,2,0.6366815868960934,3,7
