,Quiescent,Active,Jailed,Fighting,Legitimacy,links,run
177,582,189,230,15,0.4864611676383676,1,2
178,572,188,238,17,0.5011012720087927,1,2
179,570,179,250,15,0.49574732043940456,1,2
180,566,168,261,19,0.49685230266480124,1,2
181,569,156,277,10,0.4960013916269986,1,2
182,567,140,289,16,0.5017499823737436,1,2
183,587,116,293,15,0.5025051799883192,1,2
184,596,95,304,15,0.5179449415569785,1,2
185,599,73,326,12,0.526830039235936,1,2
186,613,51,330,14,0.5330151817359156,1,2
187,610,40,345,12,0.544731608851744,1,2
188,628,15,355,7,0.5456250245617354,1,2
189,655,1,348,1,0.5615180667763114,1,2
190,675,0,330,0,0.5805521688712174,1,2
191,685,1,319,0,0.5925729068246641,1,2
192,696,0,307,2,0.5983025300421305,1,2
193,712,0,293,0,0.6046881520532711,1,2
194,729,1,273,2,0.6147264738231367,1,2
195,742,0,260,3,0.6246167796213599,1,2
196,754,1,246,4,0.6327032039943999,1,2
197,765,0,238,1,0.6398811349804091,1,2
198,781,0,223,0,0.6478552939056629,1,2
199,805,0,199,0,0.6582771441165829,1,2
200,814,1,185,4,0.6737766442691312,1,2
201,829,0,175,0,0.6786979774342788,1,2
202,834,0,166,4,0.6893067704942973,1,2
203,853,0,148,3,0.6917981079501824,1,2
204,864,0,137,3,0.7040786253380031,1,2
205,877,0,126,1,0.7109314787439912,1,2
206,893,1,109,1,0.7191743804550766,1,2
207,903,0,96,5,0.7282385648745444,1,2
208,906,2,92,4,0.7331462277631733,1,2
209,912,0,89,2,0.7345436570019562,1,2
210,931,1,70,1,0.7384824197382183,1,2
211,942,0,60,1,0.7473589958942269,1,2
212,952,0,51,0,0.7521390152533682,1,2
213,959,2,42,0,0.7562232972419394,1,2
214,959,2,42,0,0.7584833409617335,1,2
215,963,0,40,0,0.7584833409617335,1,2
216,966,0,37,0,0.7603222357221271,1,2
217,974,1,28,0,0.7614215278088781,1,2
218,976,2,25,0,0.7641565997586555,1,2
219,954,19,20,10,0.7647025713882267,1,2
220,744,193,34,32,0.7517049196215118,1,2
221,549,369,72,11,0.5940999665568929,1,2
222,555,329,97,20,0.45404804282779,1,2
223,545,322,119,14,0.4628656671944957,1,2
224,560,273,146,21,0.460104017495055,1,2
225,558,260,170,11,0.47570023628560043,1,2
226,569,219,189,20,0.47898672518863955,1,2
227,562,211,216,8,0.49104775714137067,1,2
228,568,178,228,20,0.49092465262987495,1,2
229,577,160,246,10,0.49849279308450184,1,2
230,581,134,259,18,0.5086420830062174,1,2
231,592,119,270,10,0.5142796005469182,1,2
232,586,102,281,20,0.5246925181905628,1,2
233,595,86,295,13,0.523032927787042,1,2
234,607,50,313,19,0.5321893582261779,1,2
235,628,27,326,8,0.5443384028527259,1,2
236,657,3,326,3,0.5624099158175404,1,2
237,665,1,322,1,0.5844851404967581,1,2
238,675,1,312,1,0.5899285470554319,1,2
239,696,0,293,0,0.5958737025628654,1,2
240,714,1,273,1,0.6089057107352928,1,2
241,731,0,257,1,0.6195967431179185,1,2
242,741,0,247,1,0.6303798850880459,1,2
243,752,0,237,0,0.6366843853478054,1,2
244,768,0,221,0,0.6438547824826727,1,2
245,780,1,205,3,0.6541065233706096,1,2
246,791,0,195,3,0.6611199585734615,1,2
247,807,0,182,0,0.6684217738319297,1,2
248,817,0,171,1,0.6793291522874382,1,2
249,836,0,153,0,0.6856004943545067,1,2
250,853,1,135,0,0.6979071425602708,1,2
251,865,2,118,4,0.7082914238434102,1,2
252,878,0,109,2,0.714583904920643,1,2
253,898,0,89,2,0.7227815994796908,1,2
254,907,2,77,3,0.733389252036355,1,2
255,916,0,69,4,0.7372014216305378,1,2
256,926,0,61,2,0.741465285405919,1,2
257,931,1,55,2,0.7460544299034549,1,2
258,946,0,43,0,0.7478766413738153,1,2
259,950,0,37,2,0.7541240075963355,1,2
260,956,0,31,2,0.7552322347561938,1,2
261,958,1,29,1,0.7574246948460326,1,2
262,958,0,29,2,0.7581533670030287,1,2
263,958,0,29,2,0.7581533670030287,1,2
264,940,12,26,11,0.7581533670030287,1,2
265,925,12,38,14,0.747703144998619,1,2
266,698,203,51,35,0.7412799312122244,1,2
267,542,340,92,13,0.5673272984186231,1,2
268,552,295,122,18,0.4575761649040247,1,2
269,546,283,148,9,0.47018818412943125,1,2
270,549,246,171,20,0.4709708662767273,1,2
271,553,229,193,11,0.477302976387307,1,2
272,561,188,221,16,0.48417540004711473,1,2
273,552,183,239,10,0.49503097671662644,1,2
274,573,133,259,19,0.49253390582873596,1,2
275,572,126,277,8,0.5113692190029964,1,2
276,586,86,295,16,0.5142796005469182,1,2
277,599,68,306,9,0.5277989376052136,1,2
278,623,28,314,15,0.539776213638808,1,2
279,643,3,330,3,0.5599708282674902,1,2
280,654,0,325,0,0.578502597323646,1,2
281,669,0,309,1,0.5860629381076892,1,2
282,678,1,300,0,0.5948114456111038,1,2
283,695,0,284,0,0.6002305445695768,1,2
284,711,0,268,0,0.6107727669711196,1,2
285,728,0,251,0,0.6206694061933521,1,2
286,734,2,240,3,0.6313318891951385,1,2
287,742,0,233,4,0.6342194252123424,1,2
288,758,0,220,1,0.6394892101667898,1,2
289,776,1,200,2,0.6502866475942122,1,2
290,794,0,185,0,0.6615456396593574,1,2
291,812,0,167,0,0.6737502396869143,1,2
292,820,0,157,2,0.6853567408534749,1,2
293,826,5,144,3,0.6901033672101134,1,2
294,835,7,129,7,0.6930807653101726,1,2
295,803,37,124,14,0.6976174092860523,1,2
296,738,88,127,25,0.6705711893053,1,2
297,576,235,146,20,0.6173872386182728,1,2
298,579,216,165,17,0.4955764929250942,1,2
299,568,214,177,18,0.5012343947105359,1,2
300,588,179,190,18,0.4953648397725663,1,2
301,581,175,205,13,0.513165123336585,1,2
302,593,148,218,14,0.5110983505366178,1,2
303,576,155,227,14,0.5227233889545452,1,2
304,593,118,237,20,0.5121634329881254,1,2
305,596,101,257,13,0.5280847091001877,1,2
306,613,70,265,18,0.5343474879412996,1,2
307,627,47,276,16,0.5489910191544526,1,2
308,648,14,291,12,0.5616523678646342,1,2
309,664,1,296,2,0.5809875366028056,1,2
310,674,0,286,3,0.5952564311482632,1,2
311,687,0,276,0,0.6013423827132105,1,2
312,701,0,262,0,0.6098829730552551,1,2
313,716,1,245,1,0.6185951057833301,1,2
314,728,0,235,0,0.6276768234090863,1,2
315,742,0,221,0,0.6356722493929134,1,2
316,755,0,208,0,0.6446477833528634,1,2
317,766,1,196,0,0.6530353682821238,1,2
318,777,0,186,0,0.659974676136849,1,2
319,789,1,173,0,0.6672821691281741,1,2
320,798,1,161,3,0.6748537416140864,1,2
321,810,0,153,0,0.6800897264795595,1,2
322,827,0,136,0,0.6884484025425246,1,2
323,838,0,124,1,0.6990145826721591,1,2
324,853,0,110,0,0.7054446337920326,1,2
325,859,0,102,2,0.7142443516327026,1,2
326,871,0,91,1,0.7171699100203769,1,2
327,880,0,80,3,0.7236114162388413,1,2
328,885,0,75,3,0.7276358750389765,1,2
329,895,0,68,0,0.7299546540914742,1,2
330,906,0,57,0,0.7348855202371286,1,2
331,913,0,47,3,0.7393568772612735,1,2
332,921,0,41,1,0.7415048434707703,1,2
333,920,4,38,1,0.7448525029468982,1,2
334,927,0,32,4,0.7437557733461138,1,2
335,929,2,29,3,0.7465075308444458,1,2
336,932,1,28,1,0.7470556439799677,1,2
337,939,0,21,2,0.748694960652884,1,2
338,938,0,21,3,0.7512422184932904,1,2
339,938,0,23,1,0.7506965058699999,1,2
340,941,0,21,0,0.7510603035629901,1,2
341,940,0,20,2,0.7523336251109836,1,2
342,939,0,22,1,0.751606025077731,1,2
343,933,2,23,4,0.7514241173397854,1,2
344,929,1,27,5,0.7483314001135801,1,2
345,930,0,31,1,0.7468745617493157,1,2
346,931,0,30,1,0.7481484716182611,1,2
347,922,8,31,1,0.7485127281387872,1,2
348,912,4,35,11,0.7437694406910713,1,2
349,914,1,44,0,0.7389582596198385,1,2
350,916,1,42,0,0.7422871066664258,1,2
351,917,1,41,0,0.7430281779601332,1,2
352,919,0,39,1,0.7433973121749372,1,2
353,921,0,37,1,0.7441332383840614,1,2
354,923,1,35,0,0.7448666087826616,1,2
355,923,1,34,1,0.7455980366119702,1,2
356,925,0,34,0,0.7454161377654751,1,2
357,926,0,32,1,0.7465099474404823,1,2
358,927,0,31,1,0.7466926629028205,1,2
359,910,12,29,8,0.7470570785392904,1,2
360,905,3,41,10,0.7373349107483972,1,2
361,858,41,50,10,0.7367033523999589,1,2
362,658,200,68,32,0.708407984639837,1,2
363,548,298,104,7,0.5511771014818985,1,2
364,555,250,136,15,0.4748102701186177,1,2
365,553,244,152,7,0.486117752907348,1,2
366,564,193,178,21,0.48756265272049376,1,2
367,554,195,198,7,0.5003760670956519,1,2
368,572,141,215,23,0.49740134579842027,1,2
369,563,143,240,4,0.5149179718015986,1,2
370,577,94,263,14,0.513165123336585,1,2
371,585,84,272,6,0.5285267248534558,1,2
372,612,37,282,16,0.536554729446078,1,2
373,635,14,293,4,0.5588971369285067,1,2
374,644,2,295,5,0.5791145402111242,1,2
375,654,0,292,0,0.5865294492161117,1,2
376,668,0,278,0,0.5938718480930169,1,2
377,674,1,270,1,0.6024623860141202,1,2
378,685,0,257,4,0.6058131645255852,1,2
379,707,0,238,1,0.612309171207546,1,2
380,719,0,225,2,0.626755027712229,1,2
381,733,0,212,1,0.6342442835809341,1,2
382,745,0,200,1,0.6434381285319405,1,2
383,760,0,186,0,0.6511991099776684,1,2
384,773,0,172,1,0.6610976083473401,1,2
385,787,0,158,1,0.6693133842951963,1,2
386,799,0,143,4,0.6782799421879306,1,2
387,808,0,137,1,0.6853046908528055,1,2
388,818,0,128,0,0.6914244748002402,1,2
389,830,0,116,0,0.6976601647874865,1,2
390,837,1,108,0,0.7046756048370527,1,2
391,844,2,98,2,0.7084329513487834,1,2
392,850,3,87,6,0.7116953721866048,1,2
393,856,4,81,5,0.7139351124194535,1,2
394,863,1,80,2,0.7169703456879636,1,2
395,867,0,79,0,0.7214513142581425,1,2
396,879,0,66,1,0.723858875984008,1,2
397,881,1,62,2,0.7289398422388377,1,2
398,877,12,53,4,0.7294085065606332,1,2
399,817,50,52,27,0.7253666915076212,1,2
400,642,204,77,19,0.6830562489297055,1,2
401,542,274,104,22,0.5469934280125107,1,2
