,links,citizen_vision,cop_vision,max_jail_term,Run,mean_peak_size,std_peak_size,mean_peak_interval,std_peak_interval,perc_time_rebel,perc_time_calm,Legitimacy,Peaks
0,1,1,1,41,0,196.59259259259258,54.124177700885035,7.433962264150943,1.9083672163758916,0.9975062344139651,0.0024937655860349127,0.5145409730714265,54
1,5,1,1,41,1,226.66071428571428,55.87079379684699,7.218181818181818,2.3330893221486324,0.9975062344139651,0.0024937655860349127,0.5279774866184019,56
2,1,2,1,41,2,226.66071428571428,55.87079379684699,7.218181818181818,2.3330893221486324,0.9975062344139651,0.0024937655860349127,0.5279774866184019,56
3,1,1,7,41,3,226.66071428571428,55.87079379684699,7.218181818181818,2.3330893221486324,0.9975062344139651,0.0024937655860349127,0.5279774866184019,56
4,1,1,1,16,4,226.66071428571428,55.87079379684699,7.218181818181818,2.3330893221486324,0.9975062344139651,0.0024937655860349127,0.5279774866184019,56
5,5,2,7,16,5,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
6,4,6,5,17,6,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
7,2,6,5,17,7,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
8,4,6,5,17,8,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
9,4,6,2,17,9,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
10,4,6,5,40,10,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
11,2,6,2,40,11,175.5,147.72186703396352,6.857142857142857,1.4568627181693672,0.10473815461346633,0.029925187032418952,0.64192350234346,8
12,6,4,3,29,12,76.85714285714286,67.00709679137101,11.088235294117647,11.046339950299279,0.4014962593516209,0.0024937655860349127,0.6464005572396049,35
13,1,4,3,29,13,76.85714285714286,67.00709679137101,11.088235294117647,11.046339950299279,0.4014962593516209,0.0024937655860349127,0.6464005572396049,35
14,6,8,3,29,14,377.14285714285717,45.770947027964525,65.0,21.702534414210707,0.2119700748129676,0.4114713216957606,0.560439640333062,7
15,6,4,9,29,15,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
16,6,4,3,28,16,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
17,1,8,9,28,17,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
18,3,8,8,4,18,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
19,4,8,8,4,19,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
20,3,4,8,4,20,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
21,3,8,5,4,21,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
22,3,8,8,3,22,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
23,4,4,5,3,23,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
24,3,5,6,11,24,76.85714285714286,67.00709679137101,11.088235294117647,11.046339950299279,0.4014962593516209,0.0024937655860349127,0.6464005572396049,35
25,4,5,6,11,25,76.85714285714286,67.00709679137101,11.088235294117647,11.046339950299279,0.4014962593516209,0.0024937655860349127,0.6464005572396049,35
26,3,1,6,11,26,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
27,3,5,8,11,27,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
28,3,5,6,34,28,377.14285714285717,45.770947027964525,65.0,21.702534414210707,0.2119700748129676,0.4114713216957606,0.560439640333062,7
29,4,1,8,34,29,377.14285714285717,45.770947027964525,65.0,21.702534414210707,0.2119700748129676,0.4114713216957606,0.560439640333062,7
30,6,9,2,35,30,467.25,90.64318783008461,131.66666666666666,80.7148616358158,0.15211970074812967,0.10224438902743142,0.45202094752603894,4
31,1,9,2,35,31,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
32,6,5,2,35,32,99.58974358974359,87.9838907017141,10.368421052631579,4.88510654213169,0.6982543640897756,0.0024937655860349127,0.6108489561683402,39
33,6,9,4,35,33,395.0,144.54658171577177,57.833333333333336,30.36125088917707,0.2793017456359102,0.40399002493765584,0.7821704745165765,7
34,6,9,2,9,34,207.0,106.4737839407742,8.272727272727273,2.377581241931276,0.23690773067331672,0.6384039900249376,0.7232502226179875,12
35,1,5,4,9,35,86.77272727272727,96.68643404803808,12.80952380952381,5.876661245323764,0.2817955112219451,0.0024937655860349127,0.6409475352637701,22
36,5,2,9,23,36,228.5,180.03680179341112,11.333333333333334,6.182412330330469,0.04239401496259352,0.04987531172069826,0.6346736648709284,4
