,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1139,0,0,0,0.82
1,1006,97,0,36,0.82
2,655,422,43,18,0.82
3,556,486,72,22,0.82
4,586,433,104,13,0.82
5,581,407,126,19,0.82
6,601,366,151,15,0.82
7,594,342,177,19,0.82
8,617,304,195,14,0.82
9,604,286,220,19,0.82
10,617,252,249,9,0.82
11,623,226,255,23,0.82
12,621,208,283,15,0.82
13,632,172,305,17,0.82
14,640,150,323,10,0.82
15,652,113,343,15,0.82
16,677,86,347,12,0.82
17,687,54,362,19,0.82
18,709,21,384,7,0.82
19,740,0,380,1,0.82
20,755,0,365,1,0.82
21,766,0,355,0,0.82
22,783,1,336,1,0.82
23,800,0,321,0,0.82
24,820,1,300,0,0.82
25,830,2,288,1,0.82
26,846,0,275,0,0.82
27,860,0,259,2,0.82
28,877,0,243,1,0.82
29,894,0,225,2,0.82
30,905,7,202,7,0.82
31,914,5,188,14,0.82
32,902,28,184,7,0.82
33,901,13,188,19,0.82
34,921,1,192,3,0.82
35,940,0,177,0,0.82
36,958,0,157,2,0.82
37,975,0,142,0,0.82
38,987,2,127,1,0.82
39,997,0,118,2,0.82
40,1008,0,109,0,0.82
41,1021,0,96,0,0.82
42,1024,0,88,5,0.82
43,1025,1,90,1,0.82
44,1032,0,82,3,0.82
45,1043,0,73,0,0.82
46,1034,5,70,7,0.82
47,1043,0,69,3,0.82
48,1045,2,66,2,0.82
49,1049,0,65,1,0.82
50,1029,15,62,9,0.82
51,1020,9,74,12,0.82
52,980,30,85,19,0.82
53,782,202,101,29,0.82
54,609,352,132,19,0.82
55,609,322,160,21,0.82
56,625,287,187,13,0.82
57,627,262,205,18,0.82
58,629,243,229,10,0.82
59,632,215,242,20,0.82
60,626,203,267,12,0.82
61,648,163,280,17,0.82
62,635,158,300,15,0.82
63,650,124,314,19,0.82
64,663,101,327,16,0.82
65,684,58,345,18,0.82
66,708,24,354,15,0.82
67,729,7,360,4,0.82
68,749,1,348,2,0.82
69,765,1,332,2,0.82
70,778,0,321,1,0.82
71,788,0,312,0,0.82
72,803,0,297,0,0.82
73,824,1,275,0,0.82
74,847,0,252,1,0.82
75,855,0,242,3,0.82
76,865,0,234,1,0.82
77,875,0,221,4,0.82
78,891,1,207,1,0.82
79,911,0,188,1,0.82
80,921,0,178,1,0.82
81,942,0,158,0,0.82
82,955,1,140,4,0.82
83,960,7,125,8,0.82
84,969,2,123,6,0.82
85,983,0,116,0,0.82
86,999,0,100,0,0.82
87,1010,0,87,2,0.82
88,1014,0,83,2,0.82
89,1023,0,75,1,0.82
90,1033,0,65,1,0.82
91,1044,1,54,0,0.82
92,1042,2,51,4,0.82
93,1038,10,44,7,0.82
94,1023,9,51,16,0.82
95,1035,0,62,1,0.82
96,1040,0,56,2,0.82
97,1041,0,57,0,0.82
98,1044,0,53,1,0.82
99,1039,5,53,1,0.82
100,956,63,50,29,0.82
101,657,330,84,26,0.82
