,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1161,0,0,0,0.82
1,849,264,0,48,0.82
2,604,500,52,5,0.82
3,580,481,70,30,0.82
4,593,460,105,3,0.82
5,600,407,129,25,0.82
6,616,388,150,7,0.82
7,613,348,171,29,0.82
8,622,334,195,6,0.82
9,628,287,214,25,0.82
10,635,276,239,3,0.82
11,642,233,260,17,0.82
12,643,234,269,5,0.82
13,642,193,286,30,0.82
14,653,190,302,6,0.82
15,653,154,316,27,0.82
16,655,153,334,5,0.82
17,648,119,352,28,0.82
18,678,98,365,6,0.82
19,704,46,372,21,0.82
20,726,35,378,4,0.82
21,742,12,383,6,0.82
22,766,1,368,5,0.82
23,784,0,353,1,0.82
24,795,0,343,0,0.82
25,813,0,324,1,0.82
26,823,2,310,3,0.82
27,845,0,291,1,0.82
28,867,0,269,1,0.82
29,886,1,248,2,0.82
30,910,1,224,1,0.82
31,928,0,205,3,0.82
32,950,0,185,1,0.82
33,964,0,172,0,0.82
34,976,1,159,0,0.82
35,990,0,146,0,0.82
36,1003,0,131,2,0.82
37,1015,1,119,1,0.82
38,1028,2,104,2,0.82
39,1040,0,95,1,0.82
40,1052,0,84,0,0.82
41,1042,14,73,7,0.82
42,906,128,72,30,0.82
43,663,360,94,18,0.82
44,625,376,119,15,0.82
45,645,343,135,9,0.82
46,628,340,148,15,0.82
47,641,311,175,4,0.82
48,627,297,187,19,0.82
49,650,263,206,10,0.82
50,640,248,221,16,0.82
51,648,224,240,12,0.82
52,648,200,258,17,0.82
53,658,176,276,13,0.82
54,658,153,291,20,0.82
55,658,138,311,15,0.82
56,681,101,325,15,0.82
57,689,82,343,8,0.82
58,704,48,359,10,0.82
59,718,31,359,12,0.82
60,731,14,363,10,0.82
61,751,0,362,4,0.82
62,775,0,340,1,0.82
63,787,1,327,1,0.82
64,808,0,308,0,0.82
65,823,0,291,2,0.82
66,839,0,276,1,0.82
67,857,0,259,0,0.82
68,877,0,235,4,0.82
69,892,0,224,0,0.82
70,917,1,198,0,0.82
71,935,0,179,2,0.82
72,948,0,166,2,0.82
73,967,0,149,0,0.82
74,986,8,121,1,0.82
75,948,38,107,23,0.82
76,770,202,118,26,0.82
77,639,314,147,16,0.82
78,650,286,162,17,0.82
79,652,270,179,14,0.82
80,653,248,204,9,0.82
81,658,230,210,14,0.82
82,653,214,234,11,0.82
83,657,193,245,17,0.82
84,663,174,262,12,0.82
85,666,158,274,13,0.82
86,675,137,286,13,0.82
87,677,120,302,12,0.82
88,689,97,311,14,0.82
89,697,77,324,12,0.82
90,721,49,330,8,0.82
91,743,21,332,11,0.82
92,761,2,340,4,0.82
93,772,0,333,1,0.82
94,789,3,314,0,0.82
95,796,7,302,1,0.82
96,803,14,286,3,0.82
97,802,11,280,13,0.82
98,819,7,273,7,0.82
99,841,0,264,0,0.82
100,862,2,239,2,0.82
101,876,1,226,2,0.82
