,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
351,984,0,60,1,0.7558712195417004,3,7
352,994,0,50,1,0.7618298334245731,3,7
353,998,0,47,0,0.76565165896708,3,7
354,1003,0,42,0,0.7673098020043858,3,7
355,1017,0,28,0,0.769132707930813,3,7
356,1022,1,21,1,0.7741657049773867,3,7
357,1029,1,15,0,0.7755982397564327,3,7
358,1032,0,13,0,0.7782838427798275,3,7
359,1034,0,11,0,0.7795371179038296,3,7
360,1037,0,8,0,0.7802532751091693,3,7
361,1039,0,5,1,0.7813275109170306,3,7
362,1039,1,5,0,0.7818646288209606,3,7
363,1039,0,4,2,0.7818646288209606,3,7
364,1038,0,6,1,0.7816855895196506,3,7
365,1038,0,7,0,0.7815065502183406,3,7
366,1039,0,6,0,0.7816855895196506,3,7
367,1038,0,6,1,0.7820436681222707,3,7
368,1037,0,7,1,0.7815065502183406,3,7
369,1038,0,7,0,0.7811484716157204,3,7
370,1037,1,7,0,0.7816855895196506,3,7
371,1037,0,7,1,0.7811484716157204,3,7
372,1037,0,8,0,0.7811484716157204,3,7
373,1038,0,7,0,0.7813275109170306,3,7
374,1037,0,7,1,0.7816855895196506,3,7
375,1037,1,7,0,0.7811484716157204,3,7
376,991,35,7,12,0.7811484716157204,3,7
377,898,111,20,16,0.7562902813902079,3,7
378,710,256,45,34,0.6947788726354742,3,7
379,629,313,86,15,0.5493872450858296,3,7
380,637,265,117,23,0.4977153816324733,3,7
381,643,241,140,15,0.509394123291625,3,7
382,635,206,172,24,0.5189622787143011,3,7
383,651,174,196,14,0.5196214672894623,3,7
384,661,133,225,15,0.5363159465886167,3,7
385,686,94,244,9,0.5492421074161741,3,7
386,701,78,241,13,0.5716580844609617,3,7
387,711,61,253,7,0.5824593498102717,3,7
388,744,26,251,10,0.5926417499464451,3,7
389,755,25,248,3,0.618281529322077,3,7
390,758,24,246,3,0.6264046939512913,3,7
391,783,7,237,4,0.6284194855172031,3,7
392,801,4,226,0,0.6467549956377391,3,7
393,805,6,218,2,0.6593177780526204,3,7
394,817,2,211,1,0.6611308203941251,3,7
395,829,0,202,0,0.669640768201442,3,7
396,837,0,194,0,0.6778209766994719,3,7
397,845,0,185,1,0.6829225333905966,3,7
398,858,0,172,1,0.6878417355884349,3,7
399,874,0,157,0,0.696097000883386,3,7
400,886,1,144,0,0.7063267085367809,3,7
401,894,2,134,1,0.713547127443011,3,7
