,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
0,1116,0,0,0,0.82,5,2
1,879,184,0,53,0.82,5,2
2,583,454,58,19,0.6490326989572672,5,2
3,504,483,98,28,0.43821248374741695,5,2
4,552,411,136,13,0.39255577682150755,5,2
5,556,362,163,30,0.4320297556352483,5,2
6,589,312,197,13,0.4400133130299868,5,2
7,577,279,228,27,0.4688350970576999,5,2
8,592,250,254,14,0.46627993166799786,5,2
9,600,208,279,22,0.4816985947731937,5,2
10,605,190,302,11,0.49215438625545666,5,2
11,611,141,324,30,0.5001814283766816,5,2
12,634,103,355,13,0.509067121413815,5,2
13,673,37,380,14,0.5312739238449972,5,2
14,697,18,382,5,0.5641426573941535,5,2
15,723,2,373,3,0.5827693511314465,5,2
16,739,1,360,1,0.6008161016516408,5,2
17,757,0,344,0,0.6104950751757907,5,2
18,770,1,328,2,0.6212948434630752,5,2
19,794,0,307,0,0.6283893376711255,5,2
20,808,0,290,3,0.64330674607702,5,2
21,818,0,282,1,0.6512886569931644,5,2
22,830,0,271,0,0.6578197944356038,5,2
23,854,0,247,0,0.6654745142012156,5,2
24,865,2,229,5,0.6806495784315086,5,2
25,882,0,219,0,0.6864142525347555,5,2
26,890,2,209,0,0.6986950424348894,5,2
27,912,1,188,0,0.7035350088147153,5,2
28,918,1,177,5,0.7180983504094509,5,2
29,935,1,163,1,0.7211036096614253,5,2
30,952,1,145,2,0.7331901071703791,5,2
31,965,0,135,0,0.7439080588260991,5,2
32,979,0,121,0,0.7525949508046897,5,2
33,998,0,102,0,0.7610602706532114,5,2
34,1010,0,89,1,0.7718521713310038,5,2
35,1021,0,79,0,0.7779503273917092,5,2
36,1023,10,64,3,0.7834690089888604,5,2
37,970,51,55,24,0.7820057744900336,5,2
38,761,221,79,39,0.7418821641292226,5,2
39,604,359,114,22,0.5760970351321625,5,2
40,591,335,145,26,0.4679201680087972,5,2
41,598,301,183,13,0.4652142669235256,5,2
42,607,260,204,21,0.4777283966229471,5,2
43,606,234,230,22,0.48888758288257744,5,2
44,626,182,263,20,0.4929612151424423,5,2
45,634,154,283,17,0.5134854974041859,5,2
46,648,112,309,18,0.5238948267064354,5,2
47,675,68,335,8,0.539072137466603,5,2
48,700,36,335,14,0.563846595607994,5,2
49,716,9,349,11,0.5827200700231636,5,2
50,739,1,344,0,0.5973005092853078,5,2
51,759,0,323,1,0.6142814087756854,5,2
52,772,0,309,2,0.626300048481735,5,2
53,790,0,293,0,0.6339091697189561,5,2
54,796,3,283,1,0.6452268290361751,5,2
55,808,0,272,2,0.6481834776111685,5,2
56,820,0,262,0,0.6562515646557316,5,2
57,831,0,250,1,0.6641495195731364,5,2
58,847,0,235,0,0.6709359000795512,5,2
59,867,0,215,0,0.6813634390495149,5,2
60,875,1,204,2,0.6943162341132368,5,2
