,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
253,877,1,147,1,0.6981377972763461,9,1
254,889,0,130,7,0.7067446801001697,9,1
255,893,3,127,2,0.7130611311336134,9,1
256,899,0,123,3,0.7160005812193252,9,1
257,909,0,114,2,0.7198251452666177,9,1
258,918,0,106,1,0.7256230320697422,9,1
259,927,0,97,1,0.7306567119223508,9,1
260,935,1,89,0,0.7352920596389549,9,1
261,944,0,80,1,0.7392074429935005,9,1
262,953,0,69,3,0.7433672044640761,9,1
263,953,5,64,3,0.7469101433980612,9,1
264,952,0,69,4,0.7460226975106153,9,1
265,959,0,64,1,0.7463121623437584,9,1
266,961,1,59,3,0.7497706058667228,9,1
267,962,2,56,4,0.7500303038492787,9,1
268,959,5,56,4,0.7500675349296744,9,1
269,956,3,57,8,0.7483506924468094,9,1
270,956,1,63,4,0.7467871091267734,9,1
271,959,0,64,1,0.7478520441917084,9,1
272,962,0,59,3,0.7497706058667228,9,1
273,952,4,59,9,0.7506000024621421,9,1
274,953,3,66,2,0.7447802732681911,9,1
275,954,3,66,1,0.7466176257986402,9,1
276,957,0,65,2,0.747209541213561,9,1
277,959,0,63,2,0.748790176212638,9,1
278,961,0,62,1,0.7495931166892337,9,1
279,960,0,61,3,0.7505627713817462,9,1
280,964,0,60,0,0.7498130245769027,9,1
281,963,1,57,3,0.7519095074042887,9,1
282,964,1,55,4,0.7508122367675344,9,1
283,965,0,58,1,0.7510220615168429,9,1
284,959,1,58,6,0.7521170021767176,9,1
285,960,1,61,2,0.7487056708017877,9,1
286,962,0,62,0,0.7498130245769027,9,1
287,959,0,58,7,0.7511324699946095,9,1
288,959,1,62,2,0.7487056708017877,9,1
289,957,1,62,4,0.7494156275117444,9,1
290,964,0,60,0,0.7482577086801705,9,1
291,964,2,57,1,0.7519095074042887,9,1
292,967,0,56,1,0.7513770398718214,9,1
293,966,1,55,2,0.7528803132845745,9,1
294,910,40,53,21,0.752144760379234,9,1
295,728,196,78,21,0.7158930215964364,9,1
296,656,250,105,10,0.5768890239897875,9,1
297,666,219,122,14,0.5280484629487855,9,1
298,668,207,134,11,0.5384680464750711,9,1
299,665,188,153,12,0.5424736653818273,9,1
300,663,173,170,12,0.5443919086123168,9,1
301,669,148,185,14,0.5459225919296166,9,1
302,673,131,202,10,0.5538339856294175,9,1
303,680,106,220,10,0.5598433526432222,9,1
304,697,83,223,11,0.5682945455604217,9,1
305,704,62,230,16,0.5825159537662042,9,1
306,722,33,245,11,0.5899365231524848,9,1
307,733,10,258,9,0.6069276921117898,9,1
308,746,1,260,3,0.6182518438903908,9,1
309,754,0,255,1,0.628841695723746,9,1
310,765,0,244,0,0.6342929863647023,9,1
311,774,0,234,1,0.6415470959729613,9,1
312,790,0,218,1,0.6469813489794178,9,1
313,795,5,205,4,0.6570238976674792,9,1
314,810,0,198,1,0.6587557063372762,9,1
