,Quiescent,Active,Jailed,Fighting,Legitimacy,cop_vision,run
0,1145,0,0,0,0.82,9,9
1,850,245,0,50,0.82,9,9
2,549,530,49,14,0.6079057139021075,9,9
3,522,508,79,31,0.4040836548934677,9,9
4,529,485,114,11,0.3924362728944349,9,9
5,544,423,148,23,0.40354407134150316,9,9
6,558,397,172,11,0.41972103755169704,9,9
7,570,342,200,24,0.4332151147130392,9,9
8,575,329,224,5,0.44676328162986984,9,9
9,582,283,238,29,0.45529760680183984,9,9
10,583,273,267,9,0.4627766043993545,9,9
11,589,230,281,32,0.46863641299193165,9,9
12,591,223,306,9,0.4751553899419805,9,9
13,596,183,331,19,0.48190932988786933,9,9
14,599,181,338,10,0.489745366438244,9,9
15,609,135,361,20,0.4933343488971867,9,9
16,632,115,372,5,0.5051688926173814,9,9
17,648,67,383,24,0.5231608264886913,9,9
18,672,45,395,9,0.5368358613056103,9,9
19,702,4,405,9,0.5560862803464801,9,9
20,719,0,399,1,0.579529962523663,9,9
21,731,0,381,6,0.5910752394062005,9,9
22,751,0,367,0,0.5969622206741289,9,9
23,767,0,350,1,0.6091838404460015,9,9
24,786,0,331,1,0.6180696279655372,9,9
25,811,0,306,0,0.629009568150883,9,9
26,825,0,289,3,0.6441175011048953,9,9
27,838,1,272,6,0.6519645505098333,9,9
28,856,1,257,2,0.6591281917995624,9,9
29,873,0,240,3,0.6711605653005873,9,9
30,893,0,221,2,0.6817526312790194,9,9
31,908,0,205,3,0.6945418638634268,9,9
32,928,0,187,1,0.7038965742830107,9,9
33,951,1,160,4,0.717004606404268,9,9
34,969,2,142,3,0.730863284437049,9,9
35,949,14,133,20,0.7420452481813258,9,9
36,972,0,140,4,0.7244130227902665,9,9
37,983,0,132,1,0.7440560512732619,9,9
38,992,4,117,3,0.7512041442481884,9,9
39,1002,0,110,4,0.7553896002921078,9,9
40,1010,0,106,0,0.7615750896144678,9,9
41,1021,0,94,1,0.766634774508027,9,9
42,1031,1,81,3,0.7721341113658784,9,9
43,1042,1,72,1,0.77643144124963,9,9
44,1048,1,63,4,0.7817273217602058,9,9
45,1050,1,64,1,0.7837194344299542,9,9
46,1055,0,60,1,0.7850755203863043,9,9
47,1054,1,60,1,0.7872534142105994,9,9
48,1061,0,55,0,0.7866798882010693,9,9
49,1067,0,47,2,0.7897498991235251,9,9
50,1068,0,46,2,0.7916385146196564,9,9
51,1072,0,43,1,0.7920075503957814,9,9
52,1072,0,40,4,0.7936508849579488,9,9
53,1072,0,41,3,0.7931137670540187,9,9
54,1070,1,41,3,0.7932928063553287,9,9
55,1074,0,39,1,0.792391199130039,9,9
56,1077,0,36,1,0.7943845463506275,9,9
57,1078,1,35,0,0.7954656384994206,9,9
58,1075,0,35,4,0.795825186935871,9,9
59,1078,0,36,0,0.7942082652171261,9,9
60,1049,13,32,20,0.796004226237181,9,9
61,1015,27,52,19,0.7792143386662324,9,9
62,714,289,74,36,0.7614904932615678,9,9
63,561,420,117,15,0.5314644076859114,9,9
64,588,357,144,24,0.4329749254750298,9,9
65,578,350,171,13,0.45592850545401764,9,9
66,596,301,193,22,0.45433909641393144,9,9
67,589,292,222,9,0.4704352681632329,9,9
68,598,250,241,23,0.4708869329280389,9,9
69,600,233,267,12,0.4803865911386238,9,9
70,602,200,283,25,0.4864004048918016,9,9
71,601,183,314,12,0.49127056045655165,9,9
72,611,147,324,27,0.4961398426350654,9,9
73,632,127,340,10,0.5050816208550061,9,9
74,628,104,353,24,0.5224034124357569,9,9
75,640,85,372,11,0.5219645868564979,9,9
76,648,49,389,21,0.5340211854639524,9,9
77,689,13,398,7,0.5429849946897711,9,9
78,710,0,396,1,0.5736216655804315,9,9
79,721,3,382,1,0.5884188431574348,9,9
80,743,0,363,1,0.5939340779136671,9,9
81,757,0,350,0,0.6067554878860677,9,9
82,771,1,333,2,0.6148807963292872,9,9
83,787,1,316,3,0.6223934012887009,9,9
84,805,0,300,2,0.6315432963261951,9,9
85,824,0,282,1,0.64256323527627,9,9
86,846,0,259,2,0.654187526515226,9,9
87,866,2,238,1,0.6674979820002379,9,9
88,883,1,219,3,0.6797842939762048,9,9
89,896,0,209,1,0.6906029992346058,9,9
90,915,0,189,2,0.6994001668544432,9,9
91,933,0,173,0,0.7113330039909033,9,9
92,956,0,148,2,0.7231319353812025,9,9
93,980,0,124,2,0.7371592775037423,9,9
94,990,0,115,1,0.7515484587154859,9,9
95,1001,0,104,1,0.7574201098940969,9,9
96,1014,0,91,1,0.763405786020754,9,9
97,1021,0,84,1,0.7700376554555343,9,9
98,1024,0,78,4,0.7733877731273594,9,9
99,1035,0,70,1,0.7742369503187342,9,9
100,1044,0,62,0,0.7796040913885689,9,9
101,1051,1,52,2,0.7834571807774884,9,9
102,1052,0,50,4,0.7856319951933941,9,9
103,1062,0,42,2,0.7858317661063651,9,9
104,1060,0,40,6,0.7898910596304378,9,9
105,1065,0,38,3,0.7884449307725021,9,9
106,1066,1,37,2,0.7908004343713554,9,9
107,1068,0,37,1,0.7911618389270466,9,9
108,1071,0,34,1,0.7922410958352827,9,9
109,1068,0,33,5,0.7933197979907838,9,9
110,1071,1,33,0,0.7915249386300426,9,9
111,1070,0,31,4,0.7933207020060739,9,9
112,1070,0,32,3,0.7924246014842335,9,9
113,1070,1,33,1,0.7926036407855437,9,9
114,1072,0,30,3,0.7927826800868536,9,9
115,1070,0,32,3,0.7933213944999956,9,9
116,1072,0,33,0,0.7926036407855437,9,9
117,1070,0,33,2,0.7938585124039257,9,9
118,1072,0,33,0,0.7927826800868536,9,9
119,1073,0,30,2,0.7938585124039257,9,9
120,1070,0,31,4,0.7938590336094843,9,9
121,1070,0,34,1,0.7924246014842335,9,9
122,1067,4,33,1,0.7929617193881637,9,9
123,1062,1,32,10,0.7911668600274224,9,9
124,1063,1,39,2,0.7882852155889262,9,9
125,1064,0,40,1,0.7900803061840881,9,9
126,1070,0,35,0,0.7908004343713554,9,9
127,1067,0,35,3,0.7931407586894738,9,9
128,1059,6,37,2,0.7915249386300426,9,9
129,1046,2,41,14,0.7877361772959779,9,9
130,1049,1,53,0,0.7814666217489019,9,9
131,1051,0,51,1,0.785294648202435,9,9
132,1056,0,46,1,0.7860467403173743,9,9
133,1046,1,47,9,0.7878993216550408,9,9
134,1047,0,55,1,0.7825408575567622,9,9
135,1045,0,55,3,0.7845350569224996,9,9
136,1048,0,55,0,0.7834091309307155,9,9
137,1048,0,54,1,0.785094877289464,9,9
138,1049,0,53,1,0.784915837988154,9,9
139,1050,0,51,2,0.785294648202435,9,9
140,1055,0,46,2,0.7854925439286521,9,9
141,1053,1,45,4,0.7873525285617203,9,9
142,1051,1,47,4,0.7860759580903176,9,9
143,1052,0,50,1,0.7853305831121342,9,9
144,1055,0,48,0,0.7864202179190452,9,9
145,1059,0,43,1,0.7877106071643404,9,9
146,1058,0,42,3,0.7889958631238877,9,9
147,1061,0,42,0,0.7882732951999081,9,9
148,1062,1,39,1,0.7899012668827781,9,9
149,1060,0,37,6,0.7899052378648052,9,9
150,1058,3,41,1,0.7884642548902362,9,9
151,1058,0,44,1,0.7880942558985979,9,9
152,1058,0,45,0,0.7886313738025281,9,9
153,1060,0,43,0,0.7888104131038383,9,9
154,1063,1,33,6,0.7895384906980966,9,9
155,1044,13,37,9,0.7893714459139463,9,9
156,1015,22,50,16,0.7796201374267369,9,9
157,817,188,67,31,0.7642729859853634,9,9
158,586,390,109,16,0.611904610218714,9,9
159,557,387,143,13,0.4521356515816857,9,9
160,577,341,168,14,0.43898945107735166,9,9
161,580,312,190,17,0.4569218674258556,9,9
162,586,279,224,10,0.4632094966560975,9,9
163,588,249,246,16,0.47336712718837476,9,9
164,595,222,264,17,0.4786654646093115,9,9
165,600,192,283,23,0.4869817513299628,9,9
166,602,168,310,16,0.4938021448724735,9,9
167,617,137,321,20,0.5006613696853658,9,9
168,636,104,342,12,0.5132964142244589,9,9
169,645,69,358,22,0.5306146954926962,9,9
170,685,15,377,16,0.5397937039272662,9,9
171,701,1,384,6,0.5720399845123271,9,9
172,708,1,380,3,0.5852674471617298,9,9
173,717,3,369,3,0.5896696583790098,9,9
174,735,0,357,0,0.5943165301668253,9,9
175,755,1,336,0,0.6055237012624448,9,9
176,768,0,324,0,0.6168018427236556,9,9
177,784,0,307,1,0.6245430021104038,9,9
178,793,0,290,9,0.6337974726158049,9,9
179,798,0,290,4,0.6377329524574791,9,9
180,818,0,271,3,0.6416292982139774,9,9
181,835,0,256,1,0.6539467908039751,9,9
182,851,0,241,0,0.6647843686006071,9,9
183,863,0,229,0,0.6749502328408336,9,9
184,888,0,203,1,0.6825085465324564,9,9
185,910,1,178,3,0.6982096945583742,9,9
186,924,2,165,1,0.7116927042764625,9,9
187,940,1,147,4,0.7207394031265373,9,9
188,963,0,129,0,0.7303754439956296,9,9
189,979,0,112,1,0.7451454871326738,9,9
190,993,1,96,2,0.7540703051100737,9,9
191,1002,0,89,1,0.7611591721807861,9,9
192,1014,0,77,1,0.7659980721613904,9,9
193,1015,3,65,9,0.7715629582509905,9,9
194,1025,0,65,2,0.7700357846032282,9,9
195,1030,0,59,3,0.776073599288744,9,9
196,1033,1,51,7,0.7779069624368771,9,9
197,1034,1,52,5,0.7781878230162564,9,9
198,1038,1,52,1,0.7789331483979646,9,9
199,1045,0,46,1,0.781176744272304,9,9
200,1047,1,44,0,0.7839604570262199,9,9
201,1047,0,43,2,0.7846925091737071,9,9
202,1050,0,42,0,0.7845134698723972,9,9
203,1046,1,40,5,0.7859624022539572,9,9
204,1048,1,41,2,0.7834318303358208,9,9
205,1048,0,40,4,0.7846989198924467,9,9
206,1051,0,41,0,0.7845198805911365,9,9
207,1053,0,38,1,0.7863244518386042,9,9
208,1055,0,36,1,0.7868676538634143,9,9
209,1051,2,36,3,0.7875879092417787,9,9
210,1051,1,38,2,0.7854292553320541,9,9
211,1050,1,40,1,0.7857873339346741,9,9
212,1049,0,40,3,0.785604323651337,9,9
213,1048,0,42,2,0.7850625081653454,9,9
214,1048,0,43,1,0.7848779591937567,9,9
215,1051,0,41,0,0.7850569984950667,9,9
216,1048,2,41,1,0.7863244518386042,9,9
217,1052,1,39,0,0.7846989198924467,9,9
218,1052,0,39,1,0.7865068170929856,9,9
219,1054,0,38,0,0.7865068170929856,9,9
220,1053,0,35,4,0.7874070346999115,9,9
221,1051,1,38,2,0.7863305359594841,9,9
222,1051,0,40,1,0.7857873339346741,9,9
223,1052,0,39,1,0.7861454125372942,9,9
224,1052,1,37,2,0.7865068170929856,9,9
225,1052,0,38,2,0.7861487384903655,9,9
226,1039,7,33,13,0.7863277777916755,9,9
227,1007,18,45,22,0.7783309718762503,9,9
228,971,26,74,20,0.7613921399395864,9,9
229,842,128,94,27,0.7417413278783265,9,9
230,645,295,126,23,0.6418336112019704,9,9
231,591,321,161,15,0.4999885898347898,9,9
232,602,286,184,16,0.46906335738108557,9,9
233,596,266,209,15,0.4807378084692561,9,9
234,603,234,234,14,0.481744703826202,9,9
235,606,212,249,18,0.491374380443374,9,9
236,611,186,272,15,0.49613302617523053,9,9
237,608,168,294,13,0.5040491895113804,9,9
238,613,146,303,21,0.5062430038089848,9,9
239,624,122,319,18,0.5113246738442997,9,9
240,637,90,331,24,0.521858357135186,9,9
241,673,45,356,8,0.5334797831161877,9,9
242,695,8,369,9,0.5636201023251343,9,9
243,712,0,367,1,0.5822965233285144,9,9
244,723,0,356,1,0.594835655369029,9,9
245,735,0,343,2,0.6010477187296936,9,9
246,750,1,325,4,0.6077175014410237,9,9
247,759,1,319,0,0.6158492786372926,9,9
248,768,1,310,0,0.6220542133567629,9,9
249,776,2,297,4,0.6273630128737172,9,9
250,803,0,276,0,0.6312239093326203,9,9
251,819,0,258,2,0.6486055673137366,9,9
252,838,1,235,5,0.6580906963049541,9,9
253,854,0,220,5,0.6692209751989122,9,9
254,870,0,208,1,0.6794887921322313,9,9
255,855,12,198,14,0.6903688213526037,9,9
256,868,2,197,9,0.6763623449224873,9,9
257,880,2,191,3,0.6881411157677267,9,9
258,898,0,178,0,0.6968654941346635,9,9
259,914,0,159,3,0.7092207968891368,9,9
260,930,0,145,1,0.7187805651545845,9,9
261,944,1,130,1,0.7290500651977487,9,9
262,954,0,119,3,0.7372936300434771,9,9
263,969,0,107,0,0.7429299831916413,9,9
264,979,3,92,2,0.7517780125696835,9,9
265,979,3,89,5,0.756089498477045,9,9
266,982,0,90,3,0.7555523805731148,9,9
267,992,0,83,0,0.7580875485759515,9,9
268,999,1,73,2,0.7633938912193984,9,9
269,1008,1,62,4,0.7659987936547286,9,9
270,1015,1,54,5,0.7694491451402723,9,9
271,1022,1,52,0,0.772068987375816,9,9
272,1018,3,50,4,0.7756453823565997,9,9
273,1016,1,55,3,0.7730517745873299,9,9
274,1017,0,57,1,0.7728166439769552,9,9
275,1021,0,54,0,0.7737410086599732,9,9
276,1022,0,51,2,0.7754474866303825,9,9
277,1026,0,49,0,0.7754663430552895,9,9
278,1030,0,45,0,0.777315370514853,9,9
279,1032,0,41,2,0.7787842122304757,9,9
280,1033,0,40,2,0.7791542112221139,9,9
281,1035,1,38,1,0.7795169874067954,9,9
282,1035,0,38,2,0.780240441547134,9,9
283,1037,0,37,1,0.780240441547134,9,9
284,1035,0,38,2,0.78114065915406,9,9
285,1037,1,36,1,0.780240441547134,9,9
286,1035,0,32,8,0.7809616198527499,9,9
287,1035,0,36,4,0.7791662057392738,9,9
288,1034,0,38,3,0.779882362944514,9,9
289,1037,0,38,0,0.7796999976901327,9,9
290,1035,0,38,2,0.7813196984553701,9,9
291,1038,0,37,0,0.780240441547134,9,9
292,1043,0,32,0,0.7816796122985472,9,9
293,1040,1,30,4,0.7834747541335018,9,9
