,Quiescent,Active,Jailed,Fighting,Legitimacy
0,1121,0,0,0,0.82
1,812,270,0,39,0.82
2,551,517,39,10,0.82
3,527,504,62,23,0.82
4,551,466,94,5,0.82
5,555,425,114,22,0.82
6,565,405,135,9,0.82
7,571,366,151,26,0.82
8,574,356,176,8,0.82
9,582,318,191,23,0.82
10,584,310,213,6,0.82
11,591,275,227,19,0.82
12,594,266,245,7,0.82
13,596,235,254,25,0.82
14,600,228,273,8,0.82
15,605,200,282,22,0.82
16,597,203,301,6,0.82
17,600,174,309,24,0.82
18,606,167,324,8,0.82
19,615,135,336,19,0.82
20,627,134,335,9,0.82
21,622,121,343,19,0.82
22,610,132,351,11,0.82
23,629,96,356,22,0.82
24,627,104,362,10,0.82
25,625,84,376,18,0.82
26,641,78,376,8,0.82
27,642,61,381,19,0.82
28,653,53,387,10,0.82
29,672,22,390,18,0.82
30,702,15,382,3,0.82
31,735,1,360,4,0.82
32,765,1,333,1,0.82
33,782,1,312,5,0.82
34,811,0,289,0,0.82
35,829,0,270,1,0.82
36,852,0,248,0,0.82
37,873,0,225,2,0.82
38,885,0,208,7,0.82
39,897,0,202,1,0.82
40,912,5,183,0,0.82
41,806,92,171,31,0.82
42,636,262,186,15,0.82
43,603,273,208,12,0.82
44,617,254,212,12,0.82
45,608,243,231,13,0.82
46,613,227,247,7,0.82
47,621,206,253,14,0.82
48,615,207,260,10,0.82
49,623,184,270,14,0.82
50,620,182,279,10,0.82
51,618,164,291,18,0.82
52,620,160,301,10,0.82
53,635,133,299,23,0.82
54,626,138,316,9,0.82
55,634,116,323,16,0.82
56,643,105,335,6,0.82
57,639,84,351,15,0.82
58,650,75,355,9,0.82
59,658,53,357,20,0.82
60,673,40,365,9,0.82
61,693,15,368,9,0.82
62,721,3,355,4,0.82
63,739,0,344,0,0.82
64,757,1,325,0,0.82
65,777,0,306,0,0.82
66,798,0,284,1,0.82
67,818,0,264,1,0.82
68,835,0,246,2,0.82
69,843,3,235,2,0.82
70,857,0,223,3,0.82
71,883,1,197,2,0.82
72,897,0,183,3,0.82
73,900,12,163,8,0.82
74,903,12,158,10,0.82
75,904,7,164,8,0.82
76,745,148,159,31,0.82
77,614,276,176,16,0.82
78,612,260,193,17,0.82
79,615,254,202,8,0.82
80,615,238,205,20,0.82
81,614,232,220,9,0.82
82,618,211,232,13,0.82
83,618,210,230,13,0.82
84,616,194,244,15,0.82
85,614,190,252,13,0.82
86,616,169,267,15,0.82
87,617,161,274,14,0.82
88,624,137,289,16,0.82
89,620,129,308,9,0.82
90,629,104,312,20,0.82
91,633,91,327,13,0.82
92,643,68,333,19,0.82
93,661,47,343,11,0.82
94,682,34,335,11,0.82
95,710,13,328,9,0.82
96,717,10,324,8,0.82
97,720,13,322,3,0.82
98,719,12,310,16,0.82
99,715,18,314,9,0.82
100,730,8,309,9,0.82
101,747,2,302,5,0.82
102,762,1,288,4,0.82
103,781,0,273,1,0.82
104,808,1,246,0,0.82
105,831,1,223,0,0.82
106,860,0,195,0,0.82
107,872,0,182,1,0.82
108,879,6,168,2,0.82
109,856,20,161,17,0.82
110,702,160,168,24,0.82
111,628,223,182,21,0.82
112,620,218,203,13,0.82
113,626,201,206,19,0.82
114,624,192,221,15,0.82
115,633,178,225,16,0.82
116,624,176,238,13,0.82
117,618,164,256,12,0.82
118,631,146,256,16,0.82
119,626,134,273,15,0.82
120,629,124,284,10,0.82
121,632,112,286,15,0.82
122,624,109,298,11,0.82
123,634,84,311,12,0.82
124,646,63,320,12,0.82
125,665,40,323,12,0.82
126,684,15,332,8,0.82
127,700,1,334,4,0.82
128,712,0,326,1,0.82
129,739,0,300,0,0.82
130,760,0,279,0,0.82
131,776,0,262,1,0.82
132,796,0,243,0,0.82
133,811,0,226,2,0.82
134,821,2,215,1,0.82
135,840,0,196,3,0.82
136,848,4,185,2,0.82
137,862,3,170,4,0.82
138,883,1,155,0,0.82
139,892,1,144,2,0.82
140,901,1,135,2,0.82
141,909,2,128,0,0.82
142,920,1,116,2,0.82
143,941,0,98,0,0.82
144,950,2,84,3,0.82
145,920,26,76,17,0.82
146,726,200,89,24,0.82
147,601,310,115,13,0.82
148,607,285,128,19,0.82
149,603,274,151,10,0.82
150,607,249,163,18,0.82
151,611,234,181,11,0.82
